ident,lat,lon,lat_dec,lon_dec,star_unique_code,star,seq,rwy
EDMUS,S 23:11:21.22,W 45:23:09.12,-23.189227777777777,-45.385866666666665,GR04V_1 (EDMUS),GR04V,0,28
NIBVO,S 23:13:36.84,W 45:33:21.33,-23.226899999999997,-45.555924999999995,GR04V_1 (EDMUS),GR04V,1,28
POLYP,S 23:19:24.73,W 45:54:23.87,-23.32353611111111,-45.90663055555555,GR04V_1 (EDMUS),GR04V,2,28
GR278,S 23:20:43.81,W 45:59:10.49,-23.345502777777778,-45.986247222222225,GR04V_1 (EDMUS),GR04V,3,28
GR279,S 23:15:27.16,W 46:00:56.22,-23.257544444444445,-46.015616666666666,GR04V_1 (EDMUS),GR04V,4,28
GR281,S 23:10:56.50,W 46:04:23.13,-23.182361111111113,-46.07309166666667,GR04V_1 (EDMUS),GR04V,5,28
GR282,S 23:08:37.40,W 46:09:15.82,-23.143722222222223,-46.15439444444444,GR04V_1 (EDMUS),GR04V,6,28
UTKUG,S 23:18:04.41,W 46:14:31.55,-23.301225000000002,-46.24209722222222,GR04V_1 (EDMUS),GR04V,7,28
SBGR,S 23:25:57.15,W 46:28:31.62,-23.43254166666667,-46.47545,GR04V_1 (EDMUS),GR04V,8,28
ZARES,S 22:45:58.82,W 47:57:16.62,-22.76633888888889,-47.954616666666666,GR04H_1 (ZARES),GR04H,0,10
GR246,S 22:51:49.68,W 47:48:23.86,-22.8638,-47.80662777777778,GR04H_1 (ZARES),GR04H,1,10
GR247,S 22:56:23.75,W 47:41:15.63,-22.939930555555556,-47.687675,GR04H_1 (ZARES),GR04H,2,10
GR248,S 23:08:28.41,W 47:22:19.00,-23.141225,-47.371944444444445,GR04H_1 (ZARES),GR04H,3,10
EVRAL,S 23:13:01.37,W 47:15:09.23,-23.21704722222222,-47.252563888888886,GR04H_1 (ZARES),GR04H,4,10
GR249,S 23:04:19.18,W 47:04:53.22,-23.071994444444446,-47.081450000000004,GR04H_1 (ZARES),GR04H,5,10
